q1;q2;q3;r0;J;R_;L_;C_;D_;Vi
0.001;0.001;2.492476221;0.001;0.006919644;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.481822659;0.001;0.006934624;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.545670105;0.001;0.239105769;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.504307532;0.001;0.006903121;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.491610557;0.001;0.006920858;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.505749673;0.001;0.006901115;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.518491247;0.001;0.237901825;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517223808;0.001;0.237845532;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.507334924;0.001;0.006898912;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514414096;0.001;0.006889099;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517445267;0.001;0.237855369;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.517061254;0.001;0.237838311;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.513188573;0.001;0.006890794;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512593827;0.001;0.006891618;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.514432467;0.001;0.006889073;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516460001;0.001;0.237811601;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515926286;0.001;0.23778789;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.513326045;0.001;0.006890604;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515304347;0.001;0.237760256;133.333;0.000111111;0.00005;0.5;20
0.001;0.8724689;0.001;0.001;2.978811129;133.333;0.000111111;0.00005;0.5;20
0.001;0.06811769;0.02755471;0.001;0.169932447;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;0.613477714;0.001;0.014014007;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.880206453;0.001;0.007977065;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;3.251931063;0.001;0.268503341;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;1.83801313;0.001;0.00806885;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.324023114;0.001;0.00716842;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.492557919;0.001;0.00691953;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.599656523;0.001;0.241479403;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.547513448;0.001;0.239187204;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.43439219;0.001;0.007002503;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.494063866;0.001;0.00691742;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.528933931;0.001;0.238365125;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.519412115;0.001;0.237942716;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.482630645;0.001;0.006933485;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.516508949;0.001;0.237813776;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512102645;0.001;0.006892298;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.512401078;0.001;0.006891885;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515021496;0.001;0.006888259;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.5151447;0.001;0.006888088;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515312318;0.001;0.23776061;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515285825;0.001;0.237759433;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515158978;0.001;0.006888068;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515221266;0.001;0.237756564;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515232455;0.001;0.237757061;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515202351;0.001;0.006888008;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515194225;0.001;0.00688802;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515204225;0.001;0.006888006;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515211729;0.001;0.23775614;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515206548;0.001;0.006888003;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515203472;0.001;0.006888007;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.51520791;0.001;0.23775597;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515210318;0.001;0.237756077;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515210267;0.001;0.237756075;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515207241;0.001;0.006888002;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515206432;0.001;0.006888003;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515208182;0.001;0.237755982;133.333;0.000111111;0.00005;0.5;20
0.001;0.001;2.515208829;0.001;0.237756011;133.333;0.000111111;0.00005;0.5;20
